ceremony,director,film,bool_win
2,Frank Lloyd,The Divine Lady,1
2,Harry Beaumont,The Broadway Melody,0
2,Frank Lloyd,Drag,0
2,Irving Cumming,In Old Arizona,0
2,Lionel Barrymore,Madame X,0
2,Ernst Lubitsch,The Patriot,0
2,Frank Lloyd,Weary River,0
3,Lewis Milestone,All Quiet on the Western Front,1
3,Clarence Brown,Anna Christie,0
3,Robert Leonard,The Divorcee,0
3,King Vidor,Hallelujah,0
3,Ernst Lubitsch,The Love Parade,0
3,Clarence Brown,Romance,0
4,Norman Taurog,Skippy,1
4,Wesley Ruggles,Cimmaron,0
4,Clarence Brown,A Free Soul,0
4,Lewis Milestone,The Front Page,0
4,Josef von Sternberg,Morocco,0
5,Frank Borzage,Bad Girl,1
5,King Vidor,The Champ,0
5,Josef von Sternberg,Shanghai Express,0
6,Frank Lloyd,Cavalcade,1
6,Frank Capra,Lady for a Day,0
6,George Cukor,Little Women,0
7,Frank Capra,It Happened One Night,1
7,Victor Schertzinger,One Night of Love,0
7,W. S. Van Dyke,The Thin Man,0
8,John Ford,The Informer,1
8,Michael Curtiz,Captain Blood,0
8,Henry Hathaway,The Lives of Bengal Lancer,0
8,Frank Lloyd,Mutiny on the Bounty,0
9,Frank Capra,Mr. Deeds Goes to Town,1
9,William Wyler,Dodsworth,0
9,Robert Z. Leonard,The Great Ziegfeld,0
9,Gregory La Cava,My Man Godfrey,0
9,W. S. Van Dyke,San Francisco,0
10,Leo McCarey,The Awful Truth,1
10,Sidney Franklin,The Good Earth,0
10,William Dieterle,The Life of Emile Zola,0
10,Gregory La Cava,Stage Door,0
10,William Wellman,A Star Is Born,0
11,Frank Capra,You Can't Take It with You,1
11,Michael Curtiz,Angels with Dirty Faces,0
11,Norman Taurog,Boys Town,0
11,King Vidor,The Citadel,0
11,Michael Curtiz,Four Daughters,0
12,Victor Fleming,Gone With the Wind,1
12,Sam Wood,"Goodbye, Mr. Chips",0
12,Frank Capra,Mr. Smith Goes to Washington,0
12,John Ford,Stagecoach,0
12,William Wyler,Wuthering Heights,0
13,John Ford,The Grapes of Wrath,1
13,Sam Wood,Kitty Foyle,0
13,William Wyler,The Letter,0
13,George Cukor,The Philadelphia Story,0
13,Alfred Hitchcock,Rebecca,0
14,John Ford,How Green Was My Valley,1
14,Orson Welles,Citizen Kane,0
14,Alexander Hall,Here Comes Mr. Jordan,0
14,William Wyler,The Little Foxes,0
14,Howard Hawks,Sergeant York,0
15,William Wyler,Mrs. Miniver,1
15,Sam Wood,Kings Row,0
15,Marvyn LeRoy,Random Harvest,0
15,John Farrow,Wake Island,0
15,Michael Curtiz,Yankee Doodle Dandy,0
16,Michael Curtiz,Casablanca,1
16,Ernst Lubitsch,Heaven Can Wait,0
16,Clarence Brown,The Human Comedy,0
16,George Stevens,The More the Merrier,0
16,Henry King,The Song of Bernadette,0
17,Leo McCarey,Going My Way,1
17,Billy Wilder,Double Indemnity,0
17,Otto Preminger,Laura,0
17,Alfred Hitchcock,Lifeboat,0
17,Henry King,Wilson,0
18,Billy Wilder,The Lost Weekend,1
